title,text
Tecnologie di localizzazione smart network,"SmartNetwork consente di integrare diverse tecnologie di localizzazione outdoor e indoor. Localizza assets e persone in contesti outdoor/indoor, sia in visibilità che in presenza di ostacoli, potendo integrare diverse tecnologie quali: Localizzazione GPS, Localizzazione a Radio Frequenza UWB e localizzazione induttiva."
Custom device smart network,"Gruppo Filippetti sviluppa la tecnologia SmartNetwork dalla concezione alla fornitura, attraverso la progettazione, la prototipazione e la produzione dei dispositivi, garantendo ovviamente la possibilità di customizzazione in caso di esigenze specifiche del cliente."
Global IoT Platform Ecosystem: Enterprise BPM & ECM,"Enterprise BPM & ECM è la soluzione di Gruppo Filippetti nata per supportare la digital transformation in grandi organizzazioni (pubbliche e private) attraverso l’automazione di attività ricorsive non a valore aggiunto come classificazione, archiviazione e distribuzione documentale, approvazione e collaborazione sui contenuti.  Attraverso l’evoluzione e il miglioramento delle tecnologie per la memorizzazione e gestione di contenuti digitali, si espongono all’utente finale le funzionalità di Scrivania Virtuale e Servizi Documentali per garantire un utilizzo semplice sicuro e veloce degli strumenti per la gestione di documenti digitali, la loro creazione, modifica, condivisione, memorizzazione e ricerca, con prestazioni ottimizzate che non decadono anche in caso di volumi molto grandi. Le attività automatizzate, o che richiedono l’intervento di un operatore, sono disegnate attraverso un potente editor di processo che consente di utilizzare macro-attività predefinite per una modellazione veloce di flussi, anche molto complessi, che coinvolgono anche integrazioni con sistemi e servizi terzi. Gli utenti interni ed esterni all’organizzazione interagiscono con il sistema attraverso un portale evoluto, efficiente e preciso in grado di garantire l’esecuzione dei processi modellati anche grazie al supporto del potente motore di gestione documentale."
Global IoT Platform Ecosystem: Enterprise Service Bus,"La soluzione Enterprise Service Bus di Gruppo Filippetti consente ai sistemi di eseguire l’elaborazione dei dati sul margine della rete, vicino all’origine dei dati stessi.  Ciò riduce la larghezza di banda delle comunicazioni tra i sensori di campo e la IoT Smart Platform, eseguendo analisi e generazione di conoscenza presso (o vicino) alla fonte dei dati. Enterprise Service Bus è il framework ideale che garantisce sempre il controllo, l’aggiornamento, la robustezza e il monitoraggio delle logiche di elaborazione a supporto dell’utilizzo in campo o direttamente in cloud come ESB Applicativo, utilizzando al meglio le potenze di calcolo disponibili e la semplicità di un potente meta-linguaggio per descrivere i comportamenti desiderati."
Global IoT Platform Ecosystem: Enterprise Application Framework,"L’Enterprise Application Framework Geooweb sviluppato da Gruppo Filippetti è la soluzione nata per creare applicazioni tecnico-gestionali, basate su standard e protocolli aperti completamente personalizzabili. Tecnologia best in class, altamente configurabile e potente, Enterprise Application Framework grazie alle funzionalità pronte ed i componenti di interfaccia, vi permette di affrontare progetti complessi in numerose e diverse discipline, trasversalmente a molti mercati. La soluzione offre affidabilità, garanzia di lunga durata delle applicazioni e massima flessibilità nell’adeguare le procedure alle esigenze di ogni utente, permettendovi di mantenere il modello dati ed i processi sempre allineati al modello logico ed organizzativo che sta alla base della progettazione del sistema informativo. Il software, scritto in java, è basato su un’architettura a 3 livelli compatibile con tutte le principali infrastrutture IT."
Global IoT Platform Ecosystem: Enterprise Logistics Platforms,"La Enterprise Logistics Platform di Gruppo Filippetti è una soluzione nata per offrire una potente ed efficace gestione della logistica attraverso soluzioni di classe Enterprise che combinano componenti software e hardware best in class.  Questa Platform consente di automatizzare i processi di Inbound e Outbound, semplifica le procedure di inventario e velocizza le operazioni di ricezione e spedizione. Le interfacce applicative di cui dispone consentono di avere strumenti di operatività e controllo sul dato in tempo reale, e procedure di storicizzazione ed elaborazione del dato a fini statistici."
Global IoT Platform Ecosystem: Enterprise UX Platform,"La Enterprise UX Platform di Gruppo Filippetti è una piattaforma software per la creazione di interfacce per la rappresentazione di dati aggregati in real time e dati storici provenienti dai sistemi connessi alle nostre Platform.  Nasce con lo scopo di rispondere a diverse esigenze e poter essere adattata a differenti scopi. E’ stata sviluppata con tecnologie orientate alla facilità di gestione ed estensione, reattive e responsive e con ampie librerie di widgets. Offre “out of the box” una serie di funzioni di configurazione che facilitano l’implementazione di soluzioni ad hoc."
DPI SaveMeNow ATEX,"SaveMENOW ATEX, prodotto da Gruppo Filippetti, è un dispositivo di protezione individuale, indossabile e dotato di ID univoco, che si occupa della localizzazione attiva dell’operatore che lo indossa. Il dispositivo è alimentato a batteria e ricaricabile con sistema wireless QI e/o a contatto. I sensori di cui è dotato sono in grado di fornire misure di parametri meccanici (postura e movimento del soggetto), in maniera accurata e precisa. Grazie all’intelligenza a bordo della IoT Smart Platform di Gruppo Filippetti, è possibile monitorare, oltre alla posizione dell’operatore, anche eventuali situazioni di Uomo a Terra (Man-Down). SaveMENOW comunica periodicamente la propria posizione alla piattaforma IoT Smart Platform tramite infrastruttura wireless Low Power (esclusivamente a gateway di Gruppo Filippetti, tramite protocollo proprietario Smart Network, e modulazione LoRa/FSK)."
Microsoft certifica lo smart network di gruppo filippetti,"La certificazione Microsoft Azure IoT permette alle aziende di lavorare con un ecosistema di device e piattaforme che permettono di ridurre sensibilmente i tempi di produzione. Gruppo Filippetti sviluppa e offre un’ampia gamma di device IoT (sensori, attuatori, tag) che progetta e produce “in house” accanto ad una suite di IoT Smart Platforms multi disciplinari, dedicate ad una eterogenea gamma di applicazioni enterprise: safety, security, building, construction, manufacturing, predictive maintenance, logistics&tracking, mobility, environmental, fino alle soluzioni avanzate e integrate per realizzare le Smart Cities, tutto in ottica 4.0.  I device IoT certificati di Gruppo Filippetti consentono ai nostri Clienti la creazione semplice e rapida di soluzioni avanzate, integrate e scalabili.  ““I Clienti ci chiedono soluzioni complete, semplici da utilizzare e che mettano al centro la digitalizzazione dei processi, garantendo elevati livelli di servizio e rendendo trasparente la complessità tecnologica che li implementa. Microsoft Azure Certified per IoT conferma la nostra abilità di avviare con successo i progetti IoT dei nostri Clienti, grazie alla combinazione di device pre-testati, logiche operative sicure e robusti sistemi di Cloud Computing.” afferma Emiliano Anceschi, Head of Innovation di Gruppo Filippetti. “Riducendo la necessità di customizzazione e le attività necessarie per assicurare la compatibilità, Gruppo Filippetti ha messo a punto soluzioni innovative che permettono ai Clienti di portare l’IoT ovunque, aiutandoli ad abilitare soluzioni avanzate in modo rapido ed efficace”."
Safedrive pod vince il brake fleet saftey award 2018,"SafeDrivePod, la società che ha messo a punto la soluzione per ridurre le distrazioni alla guida limitando l’uso dello smartphone, si è aggiudicata il prestigioso Fleet Safety Innovation Award. Il premio è stato assegnato giovedì 11 ottobre a Birmingham durante il Fleet Safety Awards, l’evento annuale organizzato da Brake, l’ente di beneficenza della sicurezza stradale.  Presente tra le 9 aziende in short list, SafeDrivePod ha vinto il premio come “Il prodotto che fa il massimo per migliorare la sicurezza delle flotte attraverso l’innovazione” e si è distinta per l’approccio pionieristico e di successo per contrastare la distrazione dei conducenti causata dall’utilizzo dello smartphone.  Il promotore e fondatore di SafeDrivePod, Paul Hendriks, ha dichiarato: “Il premio è il riconoscimento del nostro obiettivo che è quello di evitare migliaia di morti e di feriti sulle strade di tutto il mondo. La distrazione da smartphone è una delle più gravi minacce alla sicurezza stradale. SafeDrivePod blocca l’utilizzo del telefono da parte del conducente di un veicolo in movimento”.  La società, la cui sede centrale è nei Paesi Bassi, opera in più di 20 paesi con numerosi clienti in tutto il mondo tra i quali gestori e fornitori di servizi di flotta, aziende di produzione e compagnie assicurative. In Italia la commercializzazione di questa rivoluzionaria soluzione è stata affidata ad Evolvea Mobility, società controllata di Gruppo Filippetti."
Geoweb protagonista allo smart international award 2018,"Il progetto TWIN Model della Stazione di Napoli Centrale è stato sviluppato con metodologia OPEN BIM, in stretta collaborazione con il Gruppo Ferrovie dello Stato (RFI e Grandi Stazioni Rail), volto alla creazione del modello dell’asset esistente e futuro, garantendone l’aggiornamento costante con il supporto ed il miglioramento dei processi di gestione e manutenzione. Partendo dal rilievo laser scanner dell’intera area (circa 40 ettari), è stato ricostruito il Modello BIM della stazione, organizzando i dati all’interno di un CDE (Common Data Environment). È stata poi creata una libreria dei dati di riferimento (LDR) ricostruendo 12.500 equipment presenti in stazione. Per ogni oggetto rimodellato è stata ridefinita la geometria parametrica, completa di tutte le informazioni utili per migliore ogni processo di gestione e manutenzione degli asset.  Il software Geoweb, in particolare, è stato utilizzato per integrare logiche BIM e digitalizzare i processi di Facility Management lungo l’intero ciclo di vita dell’infrastruttura. Geoweb è il framework nato per creare applicazioni tecnico-gestionali, basate su standard e protocolli aperti, completamente personalizzabili.  Lo sviluppo di Geoweb è attualmente orientato all’implementazione e all’uso dei modelli BIM in tutto il ciclo di vita di un immobile o di un’opera. I modelli BIM possono essere infatti caricati e verificati sia in fase di progettazione che in corso d’opera per poter poi essere utilizzati nella fase di gestione.  Geoweb Enterprise consente di caricare modelli prodotti da qualsiasi software BIM nei formati di interscambio standard (IFC) e di poter organizzare un DB centralizzato in cui i modelli possono essere gestiti per processi, fasi di attività o secondo criteri di scomposizione del patrimonio immobiliare così come indicato anche dalle principali normative e metodologie di riferimento.  “Siamo molto fieri di aver contribuito con la nostra soluzione al progetto TWIN Model della Stazione di Napoli Centrale, realizzato da Minnucci Associati e premiato con questo award internazionale. Speriamo in futuro di collaborare con nuovi progetti altrettanto all’avanguardia e in grado di dare un contributo rilevante sia in termini di gestione che di manutenzione degli asset”, ha commentato Micol Filippetti, CEO del Gruppo Filippetti."
Gruppo Filippetti alla guida del progetto I-Labs,"Gruppo Filippetti si è aggiudicato il bando, indetto dalla Regione Marche, per il progetto I-Labs, che ha l’obiettivo di creare piattaforme collaborative in ottica Industry 4.0, grazie al coinvolgimento delle migliori realtà industriali e scientifiche locali, come l’Università Politecnica delle Marche, l’Università di Camerino, la Fondazione Cluster Marche, il centro di ricerca e trasferimento tecnologico Meccano e numerose aziende marchigiane.  I-Labs è ai nastri di partenza: il 15 novembre si è, infatti, tenuto a Jesi, in provincia di Ancona, presso i locali nella zona ZIPA che ospiteranno per i prossimi anni il laboratorio del progetto, il kick off meeting di progetto.  In qualità di capofila del progetto, il Gruppo Filippetti si pone oggi all’avanguardia nel campo della global system integration, declinata in molteplici ambiti della nostra vita quotidiana nel segno della smartness: dall’industry all’automotive, dalla Pubblica Amministrazione all’agricoltura fino alle Smart City. Il Gruppo ha, in questo caso, il compito di guidare le aziende, coinvolte nel progetto, verso il futuro, occupandosi di robotica, automazione industriale, IoT e realtà aumentata in modo trasversale e applicate a molteplici settori: dal distretto del mobile a realtà emergenti, come food e automotive.  Articolato in cinque linee d’azione, I-Labs include due progetti di R&D, uno di trasferimento tecnologico, un laboratorio innovativo e un’azione trasversale di diffusione e valorizzazione dei risultati, che si rivolge a un tessuto imprenditoriale che opera in molteplici settori. Grazie al progetto, la Regione Marche ospita così un Laboratorio e un Centro di Competenza sulle tecnologie avanzate, che permetterà di mettere a fattor comune eccellenze e best innovation locali e quanto c’è nel campo della ricerca collaborativa applicata all’industria, proiettandole nel contesto di un mercato nazionale e internazionale in continua espansione e che consentirà di attivare collaborazioni anche con i principali vendor e technology provider internazionali.  Oltre a guidare l’intera iniziativa, il Gruppo Filippetti è capofila anche del progetto MERCURY (sMart sEcuRe deCentralized indUstRY) in ambito IIoT, Integration & Data Mining. La gestione di nuovi modelli distribuiti e coordinati nell’ambito dell’Internet of Things Industriale (IIoT) apre, infatti, a nuove sfide tecnologiche che il progetto di ricerca affronta proponendo la progettazione e la realizzazione di una piattaforma di automazione industriale che integri Edge Computing ed elementi di intelligenza artificiale con tecniche di Cybersecurity e DLT.  “Siamo entusiasti di guidare questo progetto e di collaborare con realtà locali così importanti”, ha dichiarato durante il kick off meeting Micol Filippetti, CEO di Gruppo. “Superare noi stessi e i nostri limiti, ponendo le basi per una fattiva collaborazione tra menti, persone e organizzazioni diverse è il nostro approccio che rispecchia appieno la filosofia del progetto I-Labs”.  “La Regione Marche si conferma quindi partner istituzionale di riferimento per il nostro Gruppo nel sostegno alla crescita e al finanziamento della ricerca e dell’innovazione. Per il presente, ma con l’auspicio che continui ad esserlo anche per il futuro, invito la regione a continuare a offrire il suo supporto all’innovazione e alla crescita attraverso la pubblicazione di altre misure, iniziative e bandi di finanziamento”, ha concluso Micol Filippetti."
Gruppo Filippetti entra a far parte della LoRa alliance,"L’impegno di Filippetti e dell’intero gruppo nello sviluppo e nella produzione di tecnologie IoT (Internet of Things) si arricchisce di un importante e ulteriore tassello, rappresentato dall’ingresso nella LoRa Alliance: l’associazione aperta e no-profit, fondata da aziende leader a livello mondiale, con la missione di standardizzare la tecnologia Low-Power Wide-Area Network (LPWAN) che viene sempre più adottata per abilitare l’IoT, il machine-to-machine (M2M), le Smart Cities e le applicazioni di tipo business.  La tecnologia utilizzata, già presente a bordo di molti dei device sviluppati e prodotti da Filippetti, è progettata per superare i problemi che rendevano in passsato troppo impegnativo o antieconomico collegare sensori a batteria su lunghe distanze e in ambienti difficili.  Grazie all’adesione alla LoRa Alliance, della quale fanno parte centinaia di aziende a livello globale, Filippetti potrà ulteriormente rafforzare la propria posizione sul mercato, apportando un contributo allo sviluppo stesso dell’alleanza e confrontandosi con un ecosistema di know-how ed expertise di primissimo piano."
